"System","Type","Name","SubName","Datatype","Description"
"UniEconomomy","contacts","Info.DefaultPhone.Description","","null",""
"UniEconomomy","contacts","Info.DefaultPhone.ID","","integer",""
"UniEconomomy","contacts","Info.DefaultPhone.Number","","string",""
"UniEconomomy","contacts","Info.DefaultPhone.StatusCode","","null",""
"UniEconomomy","contacts","Info.DefaultPhone.Type","","integer",""
"UniEconomomy","contacts","Info.DefaultPhone.UpdatedAt","","null",""
"UniEconomomy","contacts","Info.DefaultPhone.UpdatedBy","","null",""
"UniEconomomy","contacts","Info.DefaultPhoneID","","integer",""
"UniEconomomy","contacts","Info.Deleted","","boolean",""
"UniEconomomy","contacts","Info.ID","","integer",""
"UniEconomomy","contacts","Info.InvoiceAddress","","null",""
"UniEconomomy","contacts","Info.InvoiceAddressID","","null",""
"UniEconomomy","contacts","Info.Name","","string",""
"UniEconomomy","contacts","Info.ShippingAddressID","","null",""
"UniEconomomy","contacts","Info.StatusCode","","null",""
"UniEconomomy","contacts","Info.UpdatedAt","","null",""
"UniEconomomy","contacts","Info.UpdatedBy","","null",""
"UniEconomomy","contacts","InfoID","","integer",""
"UniEconomomy","contacts","ParentBusinessRelationID","","integer",""
"UniEconomomy","contacts","Role","","string",""
"UniEconomomy","contacts","StatusCode","","integer",""
"UniEconomomy","contacts","UpdatedAt","","string","Datetime in ISO format"
"UniEconomomy","contacts","UpdatedBy","","string",""
"UniEconomomy","countries","CountryCode","","string",""
"UniEconomomy","countries","CreatedAt","","string","Datetime in ISO format"
"UniEconomomy","countries","CreatedBy","","string",""
"UniEconomomy","countries","CurrencyRateSource","","string",""
"UniEconomomy","countries","DefaultCurrencyCode","","string",""
"UniEconomomy","countries","Deleted","","boolean",""
"UniEconomomy","countries","ID","","integer",""
"UniEconomomy","countries","Name","","string",""
"UniEconomomy","countries","UpdatedAt","","string","Datetime in ISO format"
"UniEconomomy","countries","UpdatedBy","","string",""
"UniEconomomy","currencies","CreatedAt","","string","Datetime in ISO format"
"UniEconomomy","currencies","CreatedBy","","string",""
"UniEconomomy","currencies","CurrencyDate","","string",""
"UniEconomomy","currencies","Deleted","","boolean",""
"UniEconomomy","currencies","ExchangeRate","","decimal","Property can be decimal or integer"
"UniEconomomy","currencies","Factor","","integer",""
"UniEconomomy","currencies","FromCurrencyCodeID","","integer",""
"UniEconomomy","currencies","ID","","integer",""
"UniEconomomy","currencies","Source","","integer",""
"UniEconomomy","currencies","ToCurrencyCodeID","","integer",""
"UniEconomomy","currencies","UpdatedAt","","string","Datetime in ISO format"
"UniEconomomy","currencies","UpdatedBy","","string",""
"UniEconomomy","currencycodes","Code","","string",""
"UniEconomomy","currencycodes","CreatedAt","","string",""
"UniEconomomy","currencycodes","CreatedBy","","string",""
"UniEconomomy","currencycodes","Deleted","","boolean",""
"UniEconomomy","currencycodes","Description","","string",""
"UniEconomomy","currencycodes","ID","","integer",""
"UniEconomomy","currencycodes","Name","","string",""
"UniEconomomy","currencycodes","ShortCode","","string",""
"UniEconomomy","currencycodes","UpdatedAt","","string","Datetime in ISO format"
"UniEconomomy","currencycodes","UpdatedBy","","string",""
"UniEconomomy","customers","AcceptableDelta4CustomerPayment","","integer",""
"UniEconomomy","customers","AcceptableDelta4CustomerPaymentAccountID","","integer",""
"UniEconomomy","customers","AvtaleGiro","","boolean",""
"UniEconomomy","customers","AvtaleGiroNotification","","boolean",""
"UniEconomomy","customers","BusinessRelationID","","integer",""
"UniEconomomy","customers","CalculateInterestOnReminders","","boolean",""
"UniEconomomy","customers","CreatedAt","","string",""
"UniEconomomy","customers","CreatedBy","","string",""
"UniEconomomy","customers","CreditDays","","integer",""
"UniEconomomy","customers","CurrencyCodeID","","integer",""
